City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
105,Cidreira,BR,2021-10-25 23:49:00,-30.1811,-50.2056,65.03,80,0,9.24,clear sky
106,Jaguariaiva,BR,2021-10-25 23:49:00,-24.2511,-49.7058,59.11,94,35,4.03,scattered clouds
107,Da Nang,VN,2021-10-25 23:49:01,16.0678,108.2208,75.18,88,75,1.14,broken clouds
108,Anton Lizardo,MX,2021-10-25 23:49:02,19.05,-95.9833,85.21,85,65,7.92,broken clouds
109,Puerto Escondido,MX,2021-10-25 23:49:03,15.85,-97.0667,81.7,83,79,4.9,broken clouds
110,Ukiah,US,2021-10-25 23:49:04,39.1502,-123.2078,61.57,61,1,10.36,clear sky
111,Anadyr,RU,2021-10-25 23:44:27,64.75,177.4833,3.7,78,20,15.66,few clouds
112,Ilulissat,GL,2021-10-25 23:49:05,69.2167,-51.1,10.42,67,0,3.44,clear sky
113,Grindavik,IS,2021-10-25 23:49:05,63.8424,-22.4338,37.35,93,75,4.61,broken clouds
114,Luzhou,CN,2021-10-25 23:49:06,28.8724,105.4405,59.09,94,100,3.47,overcast clouds
115,Nara,JP,2021-10-25 23:49:07,34.6851,135.8049,61.88,70,69,4.36,broken clouds
116,Carnarvon,AU,2021-10-25 23:47:08,-24.8667,113.6333,66.27,63,75,16.11,broken clouds
117,Kuryk,KZ,2021-10-25 23:49:07,43.2,51.65,49.44,66,100,17.6,overcast clouds
118,Jaguaribe,BR,2021-10-25 23:49:08,-5.8906,-38.6219,80.85,66,12,11.1,few clouds
119,Henties Bay,NA,2021-10-25 23:44:38,-22.116,14.2845,59.86,89,0,2.53,clear sky
120,Palaia Fokaia,GR,2021-10-25 23:49:09,37.72,23.9463,58.98,65,98,27.67,overcast clouds
121,Airai,TL,2021-10-25 23:49:10,-8.9266,125.4092,71.78,41,70,2.71,broken clouds
122,Grand Gaube,MU,2021-10-25 23:49:10,-20.0064,57.6608,72.37,72,8,5.99,clear sky
123,Georgetown,MY,2021-10-25 23:49:11,5.4112,100.3354,79.95,92,40,3.0,scattered clouds
124,Mitsamiouli,KM,2021-10-25 23:49:11,-11.3847,43.2844,78.93,80,23,14.9,few clouds
125,Tsumeb,NA,2021-10-25 23:49:12,-19.2333,17.7167,69.35,21,33,5.01,scattered clouds
126,Jega,NG,2021-10-25 23:49:13,12.2175,4.3792,79.32,34,37,4.47,scattered clouds
127,Mar Del Plata,AR,2021-10-25 23:47:29,-38.0023,-57.5575,59.02,64,0,1.99,clear sky
128,Muros,ES,2021-10-25 23:49:14,42.7762,-9.0603,60.84,95,2,5.79,clear sky
129,Dikson,RU,2021-10-25 23:49:14,73.5069,80.5464,13.77,83,100,16.35,overcast clouds
130,Port Hedland,AU,2021-10-25 23:49:15,-20.3167,118.5667,82.45,57,0,12.66,clear sky
131,Nanortalik,GL,2021-10-25 23:49:15,60.1432,-45.2371,34.38,65,43,9.82,scattered clouds
132,Teahupoo,PF,2021-10-25 23:49:16,-17.8333,-149.2667,75.16,76,89,2.55,light rain
133,Sur,OM,2021-10-25 23:49:16,22.5667,59.5289,79.52,67,0,6.98,clear sky
134,Nichinan,JP,2021-10-25 23:49:17,31.6,131.3667,54.55,75,0,2.24,clear sky
135,Castro,BR,2021-10-25 23:49:18,-24.7911,-50.0119,58.3,92,51,2.89,broken clouds
136,Naryan-Mar,RU,2021-10-25 23:49:18,67.6713,53.087,23.7,84,46,12.41,scattered clouds
137,Gombe,NG,2021-10-25 23:49:19,10.2897,11.1673,81.46,57,91,6.58,overcast clouds
138,Vila Do Maio,CV,2021-10-25 23:49:19,15.1333,-23.2167,79.59,83,87,13.67,overcast clouds
139,Te Anau,NZ,2021-10-25 23:49:20,-45.4167,167.7167,64.54,68,57,2.33,broken clouds
140,Port Elizabeth,ZA,2021-10-25 23:49:20,-33.918,25.5701,62.89,88,0,12.66,clear sky
141,Nalut,LY,2021-10-25 23:49:21,30.3333,10.85,64.15,47,3,7.36,clear sky
142,Marica,BR,2021-10-25 23:49:22,-22.9194,-42.8186,72.86,88,100,10.02,overcast clouds
143,Port Moresby,PG,2021-10-25 23:49:22,-9.4431,147.1797,83.62,74,75,3.44,haze
144,Bani Walid,LY,2021-10-25 23:49:23,31.7566,13.9942,67.35,63,0,2.08,clear sky
145,Yar-Sale,RU,2021-10-25 23:49:23,66.8333,70.8333,17.74,93,88,3.78,overcast clouds
146,Beinamar,TD,2021-10-25 23:49:24,8.6698,15.3813,75.56,78,10,4.36,clear sky
147,Bredasdorp,ZA,2021-10-25 23:49:25,-34.5322,20.0403,58.32,88,40,8.05,scattered clouds
148,Yuanping,CN,2021-10-25 23:49:25,38.7153,112.7575,49.48,46,100,4.36,overcast clouds
149,Chokurdakh,RU,2021-10-25 23:49:26,70.6333,147.9167,-22.65,100,82,1.77,broken clouds
150,Belaya Gora,RU,2021-10-25 23:49:26,68.5333,146.4167,-1.3,95,90,1.66,overcast clouds
151,Sao Felix Do Xingu,BR,2021-10-25 23:49:27,-6.6447,-51.995,74.7,90,87,0.72,moderate rain
152,Yellowknife,CA,2021-10-25 23:49:28,62.456,-114.3525,42.42,94,90,3.0,overcast clouds
153,Mwinilunga,ZM,2021-10-25 23:49:28,-11.7358,24.4293,62.28,97,100,3.2,overcast clouds
154,Kosikha,RU,2021-10-25 23:49:29,53.3617,84.5822,36.37,64,85,7.16,overcast clouds
155,Mayo,US,2021-10-25 23:49:29,38.8876,-76.5119,67.98,93,75,1.99,broken clouds
156,Champerico,GT,2021-10-25 23:49:30,14.3,-91.9167,86.34,81,69,2.84,broken clouds
157,Guerrero Negro,MX,2021-10-25 23:49:30,27.9769,-114.0611,68.61,70,32,17.2,scattered clouds
158,Manono,CD,2021-10-25 23:49:31,-7.3,27.4167,66.56,92,85,1.79,light rain
159,Dingle,PH,2021-10-25 23:47:06,10.9995,122.6711,80.74,85,90,7.18,overcast clouds
160,New Norfolk,AU,2021-10-25 23:49:32,-42.7826,147.0587,57.65,41,19,1.88,few clouds
161,Victoria,HK,2021-10-25 23:49:32,22.2855,114.1577,75.33,74,99,1.99,overcast clouds
162,Necochea,AR,2021-10-25 23:49:33,-38.5473,-58.7368,54.03,64,17,5.59,few clouds
