City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
252,Acajutla,SV,2021-10-27 21:02:07,13.5928,-89.8275,84.06,74,25,5.55
253,Walvis Bay,NA,2021-10-27 21:02:08,-22.9575,14.5053,61.09,78,99,4.88
254,Fortuna,US,2021-10-27 21:02:08,40.5982,-124.1573,70.36,67,75,1.99
255,Longyearbyen,SJ,2021-10-27 21:02:09,78.2186,15.6401,22.84,68,75,6.91
256,Saint-Pierre,RE,2021-10-27 21:02:09,-21.3393,55.4781,69.48,69,0,6.91
257,Hofn,IS,2021-10-27 21:02:10,64.2539,-15.2082,40.71,68,33,9.53
258,Harper,LR,2021-10-27 21:02:10,4.375,-7.7169,77.49,87,71,7.87
259,Torbay,CA,2021-10-27 21:02:11,47.6666,-52.7314,42.28,85,86,5.01
260,Warrington,GB,2021-10-27 21:02:11,53.3925,-2.5802,62.71,75,20,4.0
261,Izhmorskiy,RU,2021-10-27 21:02:11,56.194,86.6414,26.98,65,97,8.1
262,Ayan,RU,2021-10-27 21:02:12,56.45,138.1667,33.58,80,42,4.94
263,Alacranes,CU,2021-10-27 21:02:13,22.7675,-81.5675,86.88,61,76,9.24
264,Wanlaweyn,SO,2021-10-27 21:02:13,2.6185,44.8938,78.24,79,64,10.74
265,Padang,ID,2021-10-27 21:02:13,-0.9492,100.3543,76.12,77,88,3.8
266,Plettenberg Bay,ZA,2021-10-27 21:02:14,-34.0527,23.3716,64.94,93,94,4.09
267,Lavrentiya,RU,2021-10-27 21:02:14,65.5833,-171.0,14.31,73,49,7.7
268,Orimattila,FI,2021-10-27 21:02:15,60.8049,25.7296,47.88,97,100,3.4
269,Uray,RU,2021-10-27 21:02:15,60.1247,64.7758,31.28,95,100,9.26
270,Dingle,PH,2021-10-27 21:02:16,10.9995,122.6711,74.66,95,99,6.46
271,Sydney,AU,2021-10-27 20:58:41,-33.8679,151.2073,67.33,86,0,7.0
272,Pacific Grove,US,2021-10-27 21:02:17,36.6177,-121.9166,77.58,67,1,3.0
273,San Cristobal,VE,2021-10-27 21:02:18,7.7669,-72.225,73.65,81,100,4.23
274,Luderitz,NA,2021-10-27 21:02:18,-26.6481,15.1594,64.15,67,100,4.99
275,Esperance,AU,2021-10-27 21:02:19,-33.8667,121.9,51.64,67,82,23.62
276,Kerouane,GN,2021-10-27 21:02:19,9.2667,-9.0167,73.06,88,95,4.43
277,Caravelas,BR,2021-10-27 21:02:20,-17.7125,-39.2481,75.69,77,10,8.25
278,Pryazha,RU,2021-10-27 21:02:20,61.6926,33.6216,40.46,97,100,3.51
279,Mogadishu,SO,2021-10-27 21:02:21,2.0371,45.3438,79.7,82,14,11.07
280,Boyolangu,ID,2021-10-27 21:02:21,-8.1181,111.8935,75.61,91,100,1.72
281,Aninoasa,RO,2021-10-27 21:02:22,44.9667,25.4333,41.74,99,5,4.81
282,Minbu,MM,2021-10-27 21:02:22,20.1833,94.8833,74.95,93,44,4.65
283,Wajir,KE,2021-10-27 21:02:17,1.7471,40.0573,81.7,59,14,18.81
284,Millau,FR,2021-10-27 21:02:23,44.0833,2.9167,54.0,93,0,4.54
285,Quartucciu,IT,2021-10-27 21:02:24,39.2519,9.1794,64.99,69,0,4.61
286,Cabo San Lucas,MX,2021-10-27 20:58:46,22.8909,-109.9124,89.19,62,0,8.52
287,Georgetown,MY,2021-10-27 21:00:25,5.4112,100.3354,80.89,87,20,1.01
288,Smoky Lake,CA,2021-10-27 21:02:24,54.1169,-112.4686,55.49,41,87,12.01
289,Alice Springs,AU,2021-10-27 21:02:25,-23.7,133.8833,81.95,42,90,12.66
290,Humboldt,US,2021-10-27 21:02:25,40.6665,-123.9178,61.56,68,86,2.53
291,Severo-Kurilsk,RU,2021-10-27 21:02:26,50.6789,156.125,42.89,92,100,5.91
292,Moron,AR,2021-10-27 21:02:26,-34.6534,-58.6198,94.01,32,0,4.0
293,Kysyl-Syr,RU,2021-10-27 21:02:27,63.8986,122.7617,29.34,92,100,8.12
294,Bokovskaya,RU,2021-10-27 21:02:27,49.229,41.8306,36.03,51,0,7.29
