City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
449,Riachao,BR,79.29,scattered clouds,-7.3619,-46.6172,Pousada Nordestina
454,Karratha,AU,79.59,clear sky,-20.7377,116.8463,ibis Styles Karratha
458,North Myrtle Beach,US,73.06,few clouds,33.816,-78.68,Avista Resort
462,Kpandae,GH,77.49,scattered clouds,8.4689,-0.0113,S. Amaski Guest House
465,Quelimane,MZ,78.75,broken clouds,-17.8786,36.8883,Hotel Flamingo
469,Barcarena,BR,78.85,broken clouds,-1.5058,-48.6258,Dos Santos Hotel
471,Mitu,CO,71.01,overcast clouds,1.1983,-70.1733,
473,Foso,GH,73.54,broken clouds,5.7012,-1.2866,Pristina Cottage
474,Hirara,JP,76.86,few clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
480,Bengkulu,ID,75.34,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
482,Santarem,BR,78.93,clear sky,-2.4431,-54.7083,Ecotur Lodge
485,Mangrol,IN,75.25,clear sky,21.1167,70.1167,Hotel The Royal Honours
490,Sao Joao Da Barra,BR,71.24,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
494,Sungai Besar,MY,77.05,overcast clouds,3.6746,100.9867,NIDA Rooms Sabak Bernam Comfort
496,Saint-Joseph,RE,70.16,scattered clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
498,Aswan,EG,74.5,clear sky,24.0934,32.907,Nuba Nile
500,Hurghada,EG,71.64,clear sky,27.2574,33.8129,Sea Star Beau Rivage Hotel
514,Sidrolandia,BR,72.39,clear sky,-20.9319,-54.9614,Agropet São Francisco
515,Hosakote,IN,70.54,few clouds,14.2769,77.1699,AVN lodge
517,Statesboro,US,75.34,clear sky,32.4488,-81.7832,"Holiday Inn Statesboro-University Area, an IHG Hotel"
518,Mildura,AU,72.07,clear sky,-34.2,142.15,Mercure Hotel Mildura
519,Nouadhibou,MR,73.38,light rain,20.931,-17.0347,El Medina
520,Paka,MY,76.98,few clouds,4.6374,103.4368,RUMBIA RESORT VILLA
521,Mormugao,IN,74.46,mist,15.4,73.8,Coconut Creek Resort
523,Nanyamba,TZ,73.72,broken clouds,-10.6833,39.8333,Busati Lodge Nanyamba
524,Grand-Lahou,CI,77.2,moderate rain,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
527,Eyl,SO,77.0,broken clouds,7.9803,49.8164,Amiin Hotel
532,Sao Luis De Montes Belos,BR,75.58,overcast clouds,-16.525,-50.3722,Hotel Farol
536,Nioro,GM,79.32,overcast clouds,13.35,-15.75,
537,Fare,PF,73.8,heavy intensity rain,-16.7,-151.0167,Maitai Lapita Village Huahine
540,Carinhanha,BR,71.29,overcast clouds,-14.3047,-43.765,Hotel União
542,Muriwai Beach,NZ,70.86,overcast clouds,-36.8167,174.45,Coast Retreat Muriwai - Golf and Surf Holiday
548,Marawi,PH,74.88,overcast clouds,7.9986,124.2928,Derogongan Residence
553,Kaili,ID,76.59,overcast clouds,-3.4626,120.2147,
555,Veraval,IN,75.45,clear sky,20.9,70.3667,Lords Inn Somnath
560,Beloha,MG,71.1,scattered clouds,-25.1667,45.05,
562,Neiafu,TO,79.48,scattered clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
565,Ruteng,ID,70.02,overcast clouds,-8.6136,120.4721,Hotel FX 72
569,Coffs Harbour,AU,73.67,scattered clouds,-30.3,153.1333,Aquajet Motel
572,Clarence Town,AU,75.06,scattered clouds,-32.5833,151.7833,River Downs Cottage
573,Lakheri,IN,70.56,clear sky,25.6667,76.1667,प्रहलाद जी सैनी
575,Cayenne,GF,78.1,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
583,Cape Coast,GH,77.74,moderate rain,5.1053,-1.2466,Samrit Hotel
592,Omboue,GA,75.74,moderate rain,-1.5746,9.2618,Hotel Olako
596,Cururupu,BR,77.67,scattered clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
597,Cape Canaveral,US,79.03,broken clouds,28.4058,-80.6048,Residence Inn by Marriott Cape Canaveral Cocoa Beach
609,Wamba,NG,75.74,broken clouds,8.9333,8.6,Roma Zee Guest House Annex
610,Totness,SR,78.75,light rain,5.8833,-56.3167,STAATS LOGEERGEBOUW TOTNESS
613,Khambhat,IN,73.76,clear sky,22.3,72.6167,Anand
625,Babylon,US,70.0,overcast clouds,40.6957,-73.3257,Relax Inn Motel
628,Davila,PH,76.98,broken clouds,18.4726,120.5763,Blue Ridge Beach Resort
633,Ipixuna,BR,78.75,light rain,-1.7625,-48.8043,Casa da Oscarina
641,Manali,IN,78.89,scattered clouds,13.1667,80.2667,Sarathy Lodge
647,Miracema Do Tocantins,BR,79.74,light rain,-9.5618,-48.3967,Miami Apart Hotel
652,Kampong Thum,KH,74.1,broken clouds,12.7111,104.8887,Sambor Village Hotel
654,Lhokseumawe,ID,77.85,overcast clouds,5.1801,97.1507,OYO 3278 Penginapan Alfajri
655,Gamba,GA,76.01,light rain,-2.65,10.0,
657,Kilindoni,TZ,78.46,broken clouds,-7.9139,39.6668,Bustani B&B
658,Twentynine Palms,US,71.13,broken clouds,34.1356,-116.0542,"Holiday Inn Express & Suites Twentynine Palms- Joshua Tree, an IHG Hotel"
660,Marsa Matruh,EG,71.8,few clouds,31.3525,27.2453,Beau Site
663,Waddan,LY,70.75,clear sky,29.1614,16.139,محل الشريف محمد العايب
685,Baturaja,ID,75.85,overcast clouds,-4.1333,104.1667,"HOTEL Sekar Sunja, Baturaja Timur, Ogan Komering Ulu"
686,Manta,EC,76.78,broken clouds,-0.95,-80.7333,Balandra Hotel
690,Praia,CV,79.34,scattered clouds,14.9215,-23.5087,LT Aparthotel
691,Samana,DO,78.76,few clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
701,Surt,LY,71.55,clear sky,31.2089,16.5887,الهادي ابوشعاله سرت
705,Grand-Santi,GF,73.83,heavy intensity rain,4.25,-54.3833,Hotel La Villa Couacou
706,Bani,DO,78.85,few clouds,18.2833,-70.3333,Hospedaje Henriquez
711,Sao Filipe,CV,79.3,broken clouds,14.8961,-24.4956,Hotel Xaguate
